link,url,latitude,longitude,isNotObservatory,Type
"Goldendale, Washington","/wiki/Goldendale,_Washington",45.817,-120.817,FALSE,Visible
Gornergrat (HFSJG),/wiki/Gornergrat_Infrared_Telescope,45.9834,7.7836,FALSE,Visible
Gornergrat,/wiki/Gornergrat,45.98333,7.78472,TRUE,
Gran Telescopio Canarias,/wiki/Gran_Telescopio_Canarias,28.75661,-17.89203,FALSE,Visible
Canary Islands,/wiki/Canary_Islands,28.1,-15.4,TRUE,
Grant O. Gale Observatory,/wiki/Grant_O._Gale_Observatory,41.7566694,-92.72,FALSE,Visible
Green Bank Telescope,/wiki/Green_Bank_Telescope,38.43305556,-79.83972222,FALSE,Radio
"Green Bank, West Virginia","/wiki/Green_Bank,_West_Virginia",38.42,-79.83139,TRUE,
Green Point Observatory,/wiki/Green_Point_Observatory,-34.00181,151.07326,FALSE,Visible
Grenfell Observatory,/wiki/Grenfell_Campus,48.94009,-57.9322,FALSE,Visible
Griffith Observatory,/wiki/Griffith_Observatory,34.11856,-118.30037,FALSE,Visible
Guillermo Haro Observatory,/wiki/Guillermo_Haro_Observatory,31.05278,-110.38472,FALSE,Visible
Sonora,/wiki/Sonora,29.64611,-110.86889,TRUE,
Haleakala Observatory,/wiki/Haleakala_Observatory,20.7083,-156.2571,FALSE,Visible
"Maui, Hawaii","/wiki/Maui,_Hawaii",20.8,-156.333,TRUE,
Hamburg Observatory,/wiki/Hamburg_Observatory,53.48,10.241,FALSE,Visible
Hat Creek Radio Observatory,/wiki/Hat_Creek_Radio_Observatory,40.8178,-121.473,FALSE,Radio
"Shasta County, California","/wiki/Shasta_County,_California",40.76,-122.04,TRUE,
Hard Labor Creek Observatory,/wiki/Hard_Labor_Creek_Observatory,33.67111,-83.59389,FALSE,Visible
Hartung–Boothroyd Observatory,/wiki/Hartung%E2%80%93Boothroyd_Observatory,42.458225,-76.3846083,FALSE,Visible
Hartebeesthoek Radio Astronomy Observatory,/wiki/Hartebeesthoek_Radio_Astronomy_Observatory,-25.88722,27.68472,FALSE,Radio
South Africa,/wiki/South_Africa,-30,25,TRUE,
Harvard College Observatory,/wiki/Harvard_College_Observatory,42.38146,-71.12837,FALSE,Visible
"Cambridge, Massachusetts","/wiki/Cambridge,_Massachusetts",42.37361,-71.11056,FALSE,Visible
Harvard–Smithsonian Center for Astrophysics,/wiki/Harvard%E2%80%93Smithsonian_Center_for_Astrophysics,42.38146,-71.12837,FALSE,Visible
"Cambridge, Massachusetts","/wiki/Cambridge,_Massachusetts",42.37361,-71.11056,FALSE,Visible
Haute-Provence Observatory,/wiki/Haute-Provence_Observatory,43.93083333,5.713333333,FALSE,Visible
Haystack Observatory,/wiki/Haystack_Observatory,42.6233,-71.4882,FALSE,Visible
Hector J Robinson Observatory,/wiki/Hector_J_Robinson_Observatory,42.24583,-83.18694,FALSE,Visible
Helmos Observatory,/wiki/Helmos_Observatory,37.9857,22.1983,FALSE,Visible
Helsinki University Observatory,/wiki/Helsinki_University_Observatory,60.16167,24.955,FALSE,Visible
Herrett Observatory,/wiki/Herrett_Observatory,42.58389,-114.47028,FALSE,Visible
Hidden Valley Observatory,/wiki/Hidden_Valley_Observatory,44.10833,-103.2975,FALSE,Visible
Highland Road Park Observatory,/wiki/Highland_Road_Park_Observatory,30.3460694,-91.0707889,FALSE,Visible
Hirsch Observatory,/wiki/Hirsch_Observatory,42.72838,-73.68039,FALSE,Visible
Hobbs Observatory,/wiki/Hobbs_Observatory,44.81583,-91.27167,FALSE,Visible
Hoher List Observatory,/wiki/Hoher_List_Observatory,50.167,6.85,FALSE,Visible
Holcomb Observatory and Planetarium,/wiki/Holcomb_Observatory_and_Planetarium,39.84139,-86.17139,FALSE,Visible
Hong Kong Observatory,/wiki/Hong_Kong_Observatory,22.3025,114.17417,FALSE,Visible
Tsim Sha Tsui,/wiki/Tsim_Sha_Tsui,22.29389,114.17111,TRUE,
Hong Kong,/wiki/Hong_Kong,22.3,114.2,TRUE,
Hopkins Observatory,/wiki/Hopkins_Observatory,42.71167,-73.20167,FALSE,Visible
